,female_effect_size,female_p_value
Feed,-0.4314155600180684,0.7928275165726435
newspapers,0.4839435468085428,0.1787800893892123
Healthcare,0.4444415694221455,0.19543366553427566
doesnt,-0.21541297130805895,0.6589350863363335
alongside,-0.15812553821782224,0.6200891486004946
suits,-0.9992104188924853,0.9717432520740511
archive,0.14399278325026876,0.38903581766245676
Match,-0.7251916826600054,0.9211158154541718
neutral,-0.24740021188457828,0.6794904655798272
possession,0.5486519129381762,0.14003387387461808
tale,-0.5073707703292634,0.8420005749234052
disagree,-0.31026992897959077,0.7275340327966099
BlackBerry,-0.0008639370337696246,0.49681377144857586
awful,-0.4341538526480867,0.797766148073182
demonstrated,-0.7750172326318523,0.9328756072436915
badly,-0.8132110480128334,0.9406696125514584
engineer,-0.6175169527877765,0.8791139519654183
streaming,-0.5542267948290434,0.8552217352038959
Chamber,0.05260794639557257,0.4572427209007045
Tournament,-0.48995807502138006,0.8293619875840106
criticism,0.31438460005783236,0.26887465388379084
minimal,-0.5978050918000761,0.8790542267617977
Contemporary,0.9872684508734606,0.02763553866982804
referring,-0.06995139155304239,0.5538477908139801
Theory,0.18195491428096838,0.36939562374876234
capability,-0.19665497530510603,0.6456296002359655
Advice,-0.08782413154671455,0.5732858391196638
Disease,0.6216336689612059,0.11579913505721251
sub,-0.5288195122479161,0.8426814682055812
catalog,-0.8041491077596441,0.9383773884687596
Changes,0.391178777453406,0.22462483020445512
Motion,-0.33055407752512145,0.7365087644468095
grants,-0.5874786898298363,0.8704131652445022
Multiple,-0.13501196880250568,0.6013764277561366
Rule,-0.655904792350563,0.8987697462420474
anime,-0.09467289378716522,0.5718207466235914
1976,-0.24195538700531086,0.6843984472622893
Former,0.008967354287736175,0.49623789945794794
.4,-0.11474081050801,0.5859754701487035
Pain,-0.9309089714401438,0.9638707803023399
bulk,-0.8920498897864831,0.9579126543474441
belong,-1.128945237744238,0.9860249276198607
evaluate,-0.6725444546874604,0.9036928600844745
suspension,0.012371032940866765,0.48817001651288716
…,-0.3445521279444,0.7522005089158242
Debt,-0.8280233126145563,0.9474101004234137
