,word,female_effect_size,p_value,pos
61885,Cartagena,0.992885158017179,0.0228957644217083,"[""Cartagena""/PUNCT]"
61901,Sentiment,1.0545009761949165,0.0171008537403414,"[""Sentiment""/NOUN]"
61903,Musicals,1.1627077367262886,0.0104004117925133,"[""Musicals""/NOUN]"
61907,catamaran,1.2959946634815318,0.0048680863385943,"[""catamaran""/INTJ]"
61908,Kimber,1.0040246303337084,0.0205587642307784,"[""Kimber""/PROPN]"
61927,Trang,1.163115157037381,0.011006327515302,"[""Trang""/PUNCT]"
61933,hourglass,1.302966514954576,0.0050450346038257,"[""hourglass""/NOUN]"
61942,Underwire,1.7210854537345186,0.0003179545961277,"[""Underwire""/INTJ]"
61945,Stratus,1.609908632383886,0.0006850426214448,"[""Stratus""/NUM]"
61954,Matched,1.0429626068297726,0.018742425529539,"[""Matched""/VERB]"
61960,CLASSES,0.9456470638665588,0.0287518380688923,"[""CLASSES""/NOUN]"
61961,bactrim,0.92282239838406,0.0316344089733557,"[""bactrim""/INTJ]"
61962,heparin,1.3789452690456296,0.002787070575265,"[""heparin""/INTJ]"
61966,Drilled,1.5501151962817166,0.0008247448594743,"[""Drilled""/INTJ]"
61984,Clit,1.3914631198236211,0.0024115055742728,"[""Clit""/INTJ]"
61986,RECIPE,0.9548563992917332,0.0264241797222554,"[""RECIPE""/NOUN]"
61991,Z4,1.306177273593859,0.0045415303554148,"[""Z4""/PUNCT]"
61996,Lotta,1.550377065202643,0.0009495881693616,"[""Lotta""/PUNCT]"
62003,Veins,0.8718149279233199,0.0392571101596918,"[""Veins""/INTJ]"
62005,Eco-friendly,1.187527687937035,0.0084201976280958,"[""Eco-friendly""/INTJ]"
62028,illus,0.836541557378462,0.0482466872601999,"[""illus""/X]"
62034,Match.com,0.8245562689087065,0.049457896011712,"[""Match.com""/INTJ]"
62043,tory,1.036963383680859,0.0181286184307275,"[""tory""/INTJ]"
62044,MARIA,1.5247124936603396,0.001122621646435,"[""MARIA""/PROPN]"
62047,Henna,1.0847265612861277,0.0132798382480902,"[""Henna""/PUNCT]"
62052,Splendor,1.699124354645744,0.0003272081026451,"[""Splendor""/INTJ]"
62055,PAM,0.9175342275909696,0.0313936541459106,"[""PAM""/PROPN]"
62064,carey,0.9467906529600983,0.0292865611194458,"[""carey""/INTJ]"
62065,Renters,1.1545389911704629,0.0105751067038563,"[""Renters""/NOUN]"
62074,Interpreter,0.9730598367494276,0.0259958358499329,"[""Interpreter""/NOUN]"
62087,Puss,1.1585318716792143,0.0101795572120928,"[""Puss""/INTJ]"
62088,medicaid,1.0309562654122786,0.0185739441415683,"[""medicaid""/NOUN]"
