,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"""5:00""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""6""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.3040903423805674,-1.3040903423805674,-1.3040903423805674
"""60""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.0071819837483154
"""61""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.4268192433311486
"""62""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.313534737182536
"""63""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.0676770252467696
"""64""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.1229302799834535
"""65""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.3236810590067685
"""66""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-1.142744579768237
"""67""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.8461989148458923
"""68""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.3309691253764238
"""7""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.3003459745758748,-1.3003459745758748,-1.3003459745758748
"""70""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.194655864026013
"""71""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.482615587012392
"""72""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.38033381395502
"""73""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.1486487880386318
"""74""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.9004675335536052
"""76""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.164952146745144
"""77""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.8811883988557633
"""78""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.240438560710226
"""79""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.0243927668435235
"""8""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.3547692992405027,-1.3547692992405027,-1.3547692992405027
"""81""/NUM]",0,0,0,0,0,2,N/A,N/A,N/A,N/A,N/A,-0.9907094633193347
"""82""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.112048696122127
"""83""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.1473516210642076
"""84""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.175606426943909
"""85""/SYM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.9491599423766952
"""86""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.1956595804787091
"""87""/NUM]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.2222793887297616
"""9""/NUM]",0,0,0,1,1,1,N/A,N/A,N/A,-1.363725915745871,-1.363725915745871,-1.363725915745871
"""9:00""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""9:30""/NUM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
""";""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
""">""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
""">""/X]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.5038524340284607
"""A""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""April""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""August""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""C""/PUNCT]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.1604701484811124
"""CD""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""D""/NOUN]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.1776367691518883,-1.1776367691518883
"""DC""/PUNCT]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.2288755212317712,-1.2288755212317712
"""December""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""Dryer""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""February""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""G""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""GYN""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""Hair""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""IMAGE""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""IP""/NOUN]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.6692094104478077,-1.6692094104478077
"""July""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""June""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""Linux""/PUNCT]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.4866520421953004
"""M""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""N""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""October""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""Off""/X]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.8570974070606057
"""P""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""S""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""SQL""/PUNCT]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-1.5411229364276071
"""Summer""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""TV""/SYM]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""USER""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""V""/PUNCT]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,-1.195910258722345,-1.195910258722345
"""Video""/PROPN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,-0.9065385574094031
"""Walk""/VERB]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""Winter""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""Winter""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""dining""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""domain.com""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""dryer""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""fashion""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""hate""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""iPhone""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""id""/VERB]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""index""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""inst""/VERB]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"""lib""/X]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
