,count_100,count_500,count_1000,count_2500,count_5000,count_10000,mean_100,mean_500,mean_1000,mean_2500,mean_5000,mean_10000
"[""Parlour""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.0984914601169078
"[""Parma""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Parmesan""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.127487020220839,1.127487020220839
"[""Parramatta""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Parson""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Part""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Particle""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Particles""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Parties""/INTJ]",0,0,1,1,1,1,N/A,N/A,1.4006145913681718,1.4006145913681718,1.4006145913681718,1.4006145913681718
"[""Partnering""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.003174185352541
"[""Parton""/PUNCT]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.6259158632259612,1.6259158632259612
"[""PartsGeek""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.299496754862976
"[""Partying""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.1000167502453062
"[""Pascal""/PROPN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pass""/VERB]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pass-Through""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.8276898553609733
"[""Passes""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Passing""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Passion""/INTJ]",0,0,1,1,1,1,N/A,N/A,0.99163764986357,0.99163764986357,0.99163764986357,0.99163764986357
"[""Passionate""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.2411714294003338,1.2411714294003338
"[""Passions""/NOUN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.145663078321468
"[""Passport""/NOUN]",0,0,0,1,1,1,N/A,N/A,N/A,1.4481060597178708,1.4481060597178708,1.4481060597178708
"[""Passports""/NOUN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.2778541664514067
"[""Pastel""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,0.9892673498311184,0.9892673498311184
"[""Pastor""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pastors""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pastries""/NOUN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.1725078141884313
"[""Pastry""/NOUN]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.158840128550629,1.158840128550629
"[""Pasture""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Patch.com""/X]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,0.8571435212129862
"[""Patches""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Patchwork""/INTJ]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.3213238542935692,1.3213238542935692
"[""Paterno""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pathfinder""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pathol""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.1497851599027995
"[""Pathologist""/NOUN]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.0626345757520828
"[""Pathways""/NOUN]",0,0,0,0,1,1,N/A,N/A,N/A,N/A,1.029408380999409,1.029408380999409
"[""Patient""/NOUN]",0,1,1,1,1,1,N/A,1.01773645130178,1.01773645130178,1.01773645130178,1.01773645130178,1.01773645130178
"[""Patina""/INTJ]",0,0,0,0,0,1,N/A,N/A,N/A,N/A,N/A,1.0047937080077307
"[""Patriarch""/NOUN]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Patricia""/INTJ]",0,0,1,1,1,1,N/A,N/A,1.2758097817669367,1.2758097817669367,1.2758097817669367,1.2758097817669367
"[""Patrick""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Patrik""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Patriot""/PUNCT]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Patriots""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Patron""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
"[""Pats""/INTJ]",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
