,female_effect_size,female_p_value
upkeep,0.9357642136199563,0.029960263970243428
upland,0.027865126088879706,0.4768526860169271
uplands,-0.945613366823807,0.9691442607986649
uplift,1.146510083876778,0.01126381963836176
uplifting,0.9536799148932247,0.028489896014226024
uplink,-0.1797537347291342,0.63245967156232
upload,0.22088906671826927,0.3264312578918981
upper,-0.07686718370836432,0.5537746629707818
uppercut,-0.8776879321301487,0.9604910549401996
uppity,0.6134265110347584,0.10987896942523356
upright,-0.9301234558503361,0.9685403038570483
uprising,-0.47963622502627645,0.8268986302084337
uproar,-0.3363047597682395,0.7484178829797411
upscale,1.0109297091326133,0.022236711318686098
upset,0.3682336213939294,0.23515532774287728
upshot,-1.1537968185967078,0.9891339746542434
upstairs,-0.17773144143355837,0.6397976972528626
upstanding,-0.297855233207192,0.7229850353671685
upstart,-0.7958049222576294,0.9439009821893887
uptight,0.4255262373405327,0.19518675912938988
upward,-0.6888294012336436,0.916704117480988
upwards,-0.4418381058260629,0.8156046982475531
uranium,0.8215843372920256,0.04994464317984448
urban,-0.05044693407601748,0.5431805336335269
urchin,-0.6119754329744449,0.8914672313308936
urge,-0.1830505888414749,0.6445189137476386
urgency,-0.8281307437645976,0.9521954993423957
urgent,-0.4099522523757252,0.7919979286659196
urinal,-0.7536113132430637,0.9304006279224251
urinalysis,-0.20807380853533694,0.6566520141242098
urinate,-0.582447318153738,0.8802558754117843
urination,-0.2720094327588863,0.7098129880727688
urine,-0.16813729039723607,0.6286117159033822
urn,0.4132668945545991,0.20551236430942987
usable,0.1709735968302924,0.3633957561278922
usage,-0.8582702030548268,0.9562785663166679
use,-0.1336040624450648,0.6086517651032166
used,-0.046337155021519395,0.5358763010580614
useful,-0.48365181030240056,0.8278707860657287
usefully,-0.5356201751294647,0.8608863781398175
usefulness,-0.8587908518314882,0.9571326468722792
useless,-1.0569310393458644,0.9825686329644524
user,-0.2487468251943669,0.6933781452303415
usher,-0.803315383858297,0.9471466735177314
usual,-0.14231187590225183,0.6053249208032828
usurp,-0.6385173789111607,0.9000757701744473
usurped,-0.7817886207250812,0.9404120673198506
usury,-1.1938496590802339,0.9910313164852917
utensil,0.3468459331151102,0.24588726052698084
uterus,1.283666898522438,0.004866542193020074
utilitarian,0.08959630856573621,0.4283374272297932
utility,-0.6833320992494016,0.9165006468987577
utilization,0.2847432395716329,0.28510692615175204
utilize,0.03089217009911686,0.47404705281921644
utmost,-0.312238336159881,0.7335430882901567
utopian,-0.10189200219400636,0.5827548797745755
utter,-0.5204598100829425,0.8541829759871589
utterance,-0.3851464044014079,0.7802629076652704
utterly,-0.28573698794383817,0.7135009822962619
vacancy,-0.6540541257455391,0.9021891078377904
vacant,-0.15917550820392787,0.6254568739007
vacate,-0.36564284562851945,0.7713379737811219
vacation,0.5229567112065505,0.14824572355423893
vaccination,0.3242506343579281,0.2689621738050315
vaccine,0.3635174489725141,0.23354898813122893
vacuolar,1.1199534057811553,0.010949743412593915
vacuole,0.9347366198415726,0.030060419257464055
vacuous,0.8397820913553524,0.04858687098481773
vacuum,-0.8445778754838716,0.9534246178645632
vagabond,-0.8176644211452732,0.9499486584646709
vagina,1.0294951106881043,0.019941371222191306
vaginal,1.0635082199846801,0.01640582948484104
vagrancy,-0.7491997164916404,0.9357753802910359
vagrant,-0.8534849219126557,0.957974732188364
vague,0.08099400026052744,0.434291677959739
vagueness,0.045218996530780965,0.4684370686355952
vainly,-0.5560381662738422,0.8640657555238926
valance,0.5145014352567105,0.1475080763241321
vale,-0.9596143150268139,0.97260855046397
valedictorian,0.535175057023357,0.1400619815986226
valentine,0.18652469871857477,0.35266055593177226
valet,-1.0882775478479427,0.9850044650984258
valiant,-0.7387909793463008,0.9276977646217682
valid,0.48015934718705944,0.17018451020959768
validate,0.43391585206302513,0.18383026449062545
validation,1.1847427478586967,0.008982881433586498
validity,-0.12943845695232734,0.6059945901192767
valium,-0.017131315252723687,0.5087244608078929
valley,-0.0530623754001742,0.5405916270852651
valor,-0.5657338927546979,0.8679217892682012
valuable,-0.47855640445555314,0.8316587058415588
valuables,0.226826258352628,0.3239749379543082
valuation,-0.12440728661353238,0.5893154889800118
value,-0.5370505074237896,0.8621557602429022
valve,-0.840389203874592,0.9517432000262567
vamoose,-0.24442420158317998,0.6924696448120767
vamp,1.0203945676310227,0.021175589229886715
vampire,0.40065487057656357,0.21067582813573438
van,-0.4933353454517464,0.8393996142109774
vandal,-0.7957452785543087,0.945951065936676
